arc                                                                         ,file                                                            ,crc32
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,etc\itemEquipJobList                                            ,6FAE86B8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,scr\land_list                                                   ,E36E23
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,fade\NullWhite                                                  ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,fade\fade_in                                                    ,4C0DB839
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,fade\white_in                                                   ,4C0DB839
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\etc\ability_gain_table                    ,3A2F1717
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\job02                       ,6F98BAA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\job05                       ,6F98BAA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,etc\ddo_texture_detail                                          ,6F62D575
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,ui\00_param\OutfitInfo                                          ,4E99C0CB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\baseStatus                  ,4046F1E1
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\job09                       ,6F98BAA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,fade\white_out                                                  ,4C0DB839
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,fade\fade_out                                                   ,4C0DB839
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,scr\area_list                                                   ,6FF78212
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\om\pmparamex                                                ,5726B72C
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,param\common                                                    ,325AACA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,event\event_list                                                ,3934A1BA
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\base                        ,2CCCE2FB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,etc\itemlist                                                    ,157388D3
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\job07                       ,6F98BAA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\job08                       ,6F98BAA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\etc\stamina_gain_table                    ,3A2F1717
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,scr\stage_list                                                  ,21502841
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,scr\area_ja_list                                                ,61F41287
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\job01                       ,6F98BAA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\etc\abilityinfo                           ,46EAFAF7
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\job06                       ,6F98BAA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,scr\area_stage_list                                             ,71827B54
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\etc\hp_gain_table                         ,3A2F1717
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\etc\lostTimer_gain_table                  ,3A2F1717
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\job03                       ,6F98BAA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,obj\pl\pl000000\param\jobleveluptbl\job04                       ,6F98BAA5
J:/Juegos/Dragon's Dogma Online//nativePC/rom/base.arc                      ,param\preset                                                    ,61300877
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,etc\browser\fontjpn00_NOMIP                                     ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,etc\browser\fontjpn01_NOMIP                                     ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win_00_ID_HQ                            ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win_01_ID_HQ                            ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win_02_ID_HQ                            ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win_03_ID_HQ                            ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win_04_ID_HQ                            ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win_05_ID_HQ                            ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win_06_ID_HQ                            ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win_07_ID_HQ                            ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win_08_ID_HQ                            ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/browser_font_win.arc          ,ui\00_font\ddo_font_jpn_win                                     ,2D462600
J:/Juegos/Dragon's Dogma Online//nativePC/rom/camera.arc                    ,camera\cam\template                                             ,12C3BFA7
J:/Juegos/Dragon's Dogma Online//nativePC/rom/camera.arc                    ,param\em_large_camera                                           ,639F3AD8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/camera.arc                    ,camera\cam\cmn_evt                                              ,12C3BFA7
J:/Juegos/Dragon's Dogma Online//nativePC/rom/camera.arc                    ,camera\cam\cmn_act                                              ,12C3BFA7
J:/Juegos/Dragon's Dogma Online//nativePC/rom/camera.arc                    ,camera\cam_quake                                                ,3A947AC1
