keys,en,ja
HM_PRESET_NO_45,Rogue Fighter,ローグファイター
HM_PRESET_NO_46,Rogue Seeker,ローグシーカー
HM_PRESET_NO_47,Rogue Hunter,ローグハンター
HM_PRESET_NO_48,Rogue Healer,ローグヒーラー
HM_PRESET_NO_49,Rogue Defender,ローグガーダー
HM_PRESET_NO_50,Rogue Mage,ローグメイジ
HM_PRESET_NO_51,Rogue Warrior,ローグウォリアー
HM_PRESET_NO_52,Banded Fighter,バンデッドファイター
HM_PRESET_NO_53,Banded Seeker,バンデッドシーカー
HM_PRESET_NO_54,Banded Hunter,バンデッドハンター
HM_PRESET_NO_55,Banded Healer,バンデッドヒーラー
HM_PRESET_NO_56,Banded Defender,バンデッドガーダー
HM_PRESET_NO_57,Banded Mage,バンデッドメイジ
HM_PRESET_NO_58,Banded Warrior,バンデッドウォリアー
HM_PRESET_NO_59,Mergan Fighter,メルガンファイター
HM_PRESET_NO_60,Mergan Seeker,メルガンシーカー
HM_PRESET_NO_61,Mergan Hunter,メルガンハンター
HM_PRESET_NO_62,Mergan Healer,メルガンヒーラー
HM_PRESET_NO_63,Mergan Defender,メルガンガーダー
HM_PRESET_NO_64,Mergan Mage,メルガンメイジ
HM_PRESET_NO_65,Mergan Warrior,メルガンウォリアー
HM_PRESET_NO_66,Mergan Element Archer,メルガンエレメンター
HM_PRESET_NO_67,Seeker?,シーカー?
HM_PRESET_NO_68,Mist Fighter,ミストファイター
HM_PRESET_NO_69,Mist Hunter,ミストハンター
HM_PRESET_NO_70,Mist Priest,ミストプリースト
HM_PRESET_NO_71,Mist Sorcerer,ミストソーサラー
HM_PRESET_NO_72,Mist Warrior,ミストウォリアー
HM_PRESET_NO_73,Priest?,プリースト?
HM_PRESET_NO_74,Iris,イリス
HM_PRESET_NO_75,Diamantes (Human),ディアマンテス (人間)
HM_PRESET_NO_76,Leo (S1),レオ (S1)
HM_PRESET_NO_77,Pawn Fighter,ポーンファイター
HM_PRESET_NO_78,Pawn Seeker,ポーンシーカー
HM_PRESET_NO_79,Pawn Hunter,ポーンハンター
HM_PRESET_NO_80,Pawn Healer,ポーンヒーラー
HM_PRESET_NO_81,Pawn Defender,ポーンガーダー
HM_PRESET_NO_82,Pawn Mage,ポーンメイジ
HM_PRESET_NO_83,Pawn Warrior,ポーンウォリアー
HM_PRESET_NO_84,Pawn Element Archer,ポーンエレメンター
HM_PRESET_NO_85,Naked male?,
HM_PRESET_NO_86,Hooded Iris,
HM_PRESET_NO_87,Scarlet Fighter,スカーレットファイター
HM_PRESET_NO_88,Scarlet Seeker,スカーレットシーカー
HM_PRESET_NO_89,Scarlet Hunter,スカーレットハンター
HM_PRESET_NO_90,Scarlet Healer,スカーレットヒーラー
HM_PRESET_NO_91,Scarlet Defender,スカーレットガーダー
HM_PRESET_NO_92,Scarlet Mage,スカーレットメイジ
HM_PRESET_NO_93,Scarlet Warrior,スカーレットウォリアー
HM_PRESET_NO_94,Phindymian Fighter,フィンドファイター
HM_PRESET_NO_95,Phindymian Seeker,フィンドシーカー
HM_PRESET_NO_96,Phindymian Hunter,フィンドハンター
HM_PRESET_NO_97,Phindymian Priest,フィンドプリースト
HM_PRESET_NO_98,Phindymian Defender,フィンドガーダー
HM_PRESET_NO_99,Phindymian Sorcerer,フィンドソーサラー
HM_PRESET_NO_100,Phindymian Warrior,フィンドウォリアー
HM_PRESET_NO_101,Phindymian Element Archer,フィンドエレメンター
HM_PRESET_NO_102,Megado Guard Fighter,
HM_PRESET_NO_103,Megado Guard Seeker,
HM_PRESET_NO_104,Megado Guard Hunter,
HM_PRESET_NO_105,Megado Guard Warrior,
HM_PRESET_NO_106,Valentines Candy Fighter,
HM_PRESET_NO_107,Valentines Candy Shield Sage,
HM_PRESET_NO_108,Valentines Candy Sorcerer?,
HM_PRESET_NO_109,Valentines Candy Priest?,
HM_PRESET_NO_110,First king Armor Sword+Shield,
HM_PRESET_NO_111,First king Armor Greatsword? Spear?,
HM_PRESET_NO_112,Leo (S3),レオ (S3)
