keys,en,ja
ENEMY_CATEGORY_1,Goblin,ゴブリン
ENEMY_CATEGORY_2,Goblin Fighter,ゴブリンファイター
ENEMY_CATEGORY_3,Shield Goblin,シールドゴブリン
ENEMY_CATEGORY_4,Sling Goblin,スリングゴブリン
ENEMY_CATEGORY_5,Goblin Leader,ゴブリンリーダー
ENEMY_CATEGORY_6,Hobgoblin,ホブゴブリン
ENEMY_CATEGORY_7,Hobgoblin Fighter,ホブゴブリンファイター
ENEMY_CATEGORY_8,Sling Hobgoblin,スリングホブゴブリン
ENEMY_CATEGORY_9,Hobgoblin Leader,ホブゴブリンリーダー
ENEMY_CATEGORY_10,Gigant Machina,ギガン・マキナ
ENEMY_CATEGORY_11,Mogok,モゴック
ENEMY_CATEGORY_12,General Orc,ジェネラルオーク
ENEMY_CATEGORY_13,Captain Orc,キャプテンオーク
ENEMY_CATEGORY_14,Orc Battler,オークバトラー
ENEMY_CATEGORY_15,Orc Soldier,オークソルジャー
ENEMY_CATEGORY_16,Slime,スライム
ENEMY_CATEGORY_17,Deep Slime,ディープスライム
ENEMY_CATEGORY_18,Blob,ブロブ
ENEMY_CATEGORY_19,Glutton Ooze,グラトンウーズ
ENEMY_CATEGORY_20,Ooze,ウーズ
ENEMY_CATEGORY_21,Mist Wyrm,ミストウィルム
ENEMY_CATEGORY_22,Mist Drake,ミストドレイク
ENEMY_CATEGORY_23,Behemoth,ベヘモット
ENEMY_CATEGORY_24,Angules,アングルス
ENEMY_CATEGORY_25,Lindwurm,リンドブルム
ENEMY_CATEGORY_26,Wyrm,ウィルム
ENEMY_CATEGORY_27,Drake,ドレイク
ENEMY_CATEGORY_180,Damned Wolf,ダムドウルフ
ENEMY_CATEGORY_28,Alchemized Wolf,ウルフアルケミー
ENEMY_CATEGORY_29,Shadow Wolf,シャドーウルフ
ENEMY_CATEGORY_30,Grimwarg,グリムワーグ
ENEMY_CATEGORY_31,Direwolf,ダイアウルフ
ENEMY_CATEGORY_32,Wolf,オオカミ
ENEMY_CATEGORY_33,Alchemized Skeleton,スケルトンアルケミー
ENEMY_CATEGORY_34,Ghost Mail,ゴーストメイル
ENEMY_CATEGORY_35,Death Knight,デスナイト
ENEMY_CATEGORY_36,Skeleton Sorcerer,スケルトンソーサラー
ENEMY_CATEGORY_37,Skeleton Mage,スケルトンメイジ
