keys,ja,en
ITEM_NAME_34,癒しの薬,Healing Potion
ITEM_NAME_35,癒しの薬・上,Superior Healing Potion
ITEM_NAME_36,ガラエキス,Gala Extract
ITEM_NAME_37,毒消しの薬,Antidote
ITEM_NAME_38,解印の水薬,Key Insignia Potion
ITEM_NAME_39,点眼薬,Eyedrops
ITEM_NAME_40,石化下し,Petrification Cure
ITEM_NAME_41,万能薬,Panacea
ITEM_NAME_42,戦神のお守り,Conqueror's Periapt
ITEM_NAME_43,守護神のお守り,Angel's Periapt
ITEM_NAME_44,魔神のお守り,Demon's Periapt
ITEM_NAME_45,精霊のお守り,Sprite's Periapt
ITEM_NAME_46,ドリード宝物庫の鍵,Dreed Treasury Key
ITEM_NAME_47,蝶印の小鍵,Small Butterfly Key
ITEM_NAME_48,オーク将の錆び鍵,Orc General's Rusty Key
ITEM_NAME_49,ドリード城主の鍵,Dreed Master Key
ITEM_NAME_50,監獄牢の鍵,Dungeon Key
ITEM_NAME_52,手投げ爆弾,Throwblast
ITEM_NAME_54,白竜印の霊薬,White Dragon Miracle Cure
ITEM_NAME_55,ランタン火種,Lantern Kindling
ITEM_NAME_56,白竜印ガラエキス,White Dragon Gala Extract
ITEM_NAME_57,ピッケル,Pickaxe
ITEM_NAME_58,伐採ナイフ,Lumber Knife
ITEM_NAME_59,箱開けピン,Lockpick
ITEM_NAME_61,ガラエキス・上,Superior Gala Extract
ITEM_NAME_62,ブロンズソード,Bronze Sword
ITEM_NAME_63,ランディングソード,Landing Sword
ITEM_NAME_64,メイス,Mace
ITEM_NAME_65,マクハエラ,Makhaira
ITEM_NAME_66,サウザントトゥループス,Thousand Troops
ITEM_NAME_67,ストロングハチェット,Strong Hatchet
ITEM_NAME_68,アイアンソード,Iron Sword
ITEM_NAME_69,ペルテー,Pelta
ITEM_NAME_70,ストレングス,Strength
ITEM_NAME_71,マスカラーウォール,Muscular Wall
ITEM_NAME_72,ショートボウ,Shortbow
ITEM_NAME_73,ラウンドシールド,Round Shield
ITEM_NAME_74,ストーキングボウ,Stalking Bow
ITEM_NAME_75,ストレイン,Strain
ITEM_NAME_76,コンポジットロングボウ,Composite Longbow
ITEM_NAME_77,カスタムロングボウ,Custom Longbow
ITEM_NAME_78,ホワイトウルフボウ,White Wolf Bow
ITEM_NAME_79,レッドパインボウ,Red Pine Bow
ITEM_NAME_80,ウッドスタッフ,Wood Staff
ITEM_NAME_81,ブルーケイン,Blue Cane
ITEM_NAME_82,ハーミットワンド,Hermit Wand
ITEM_NAME_83,パームフラワー,Palm Flower
ITEM_NAME_84,パワーオブポーン,Power of Pawn
ITEM_NAME_85,制魔の杖,Staff of Magickal Restraint
ITEM_NAME_86,カッパーケイン,Copper Cane
ITEM_NAME_87,ブロンズロッド,Bronze Rod
ITEM_NAME_88,スパイクロッド,Spike Rod
ITEM_NAME_90,パワーロッド,Power Rod
ITEM_NAME_91,ラージウッド,Large Wood
ITEM_NAME_92,オーヴァルシールド,Oval Shield
ITEM_NAME_93,モノリス,Monolith
ITEM_NAME_94,バトルシールド,Battle Shield
ITEM_NAME_95,ナイツオナー,Knight's Honor
ITEM_NAME_96,スクートゥム,Scutum
ITEM_NAME_97,ウッディマジック,Woody Magick
ITEM_NAME_98,キャヴァリーアームス,Cavalry Arms
ITEM_NAME_99,シーフブレード,Thief's Blades
ITEM_NAME_100,ブリゼペ,Brise-épéé
ITEM_NAME_101,スリットダガー,Slit Daggers
ITEM_NAME_102,スネークダガー,Snake Daggers
ITEM_NAME_103,スナグダガー,Snagdaggers
ITEM_NAME_104,グラディウス,Gladius
ITEM_NAME_105,ガイドワンズ,Guide Wand
ITEM_NAME_106,フェロウシャスホーン,Ferocious Horn
ITEM_NAME_107,マジシャンズソート,Magician's Thought
ITEM_NAME_108,パームトゥリーズ,Palm Trees
ITEM_NAME_109,マジックインザケイジ,Magic in the Cage
ITEM_NAME_110,スパイラルワンズ,Spiral Wand
ITEM_NAME_111,メイジワンズ,Mage Wand
ITEM_NAME_112,マジックボウ,Magick Bow
ITEM_NAME_113,グノエツィール,Gnosir
ITEM_NAME_114,ケンブレッヒャー,Kenn-brecher
ITEM_NAME_115,ブロンツァボーゲン,Bronze Bogen
ITEM_NAME_116,ドッペルシュプアー,Doppel Schütze
ITEM_NAME_117,マギアキクロス,Mageia Kyklos
ITEM_NAME_118,クヴェーレンクラフト,Quellenkraft
ITEM_NAME_119,ツーハンデッドソード,Two-Handed Sword
ITEM_NAME_120,バトルソード,Battle Sword
ITEM_NAME_121,クレイモア,Claymore
ITEM_NAME_122,グレートソード,Greatsword
ITEM_NAME_123,イラキリス,Iraklis
ITEM_NAME_124,ジャッジハンマー,Judge's Hammer
ITEM_NAME_125,トレイスピリナディシル,Treispirinadir
ITEM_NAME_126,プリムス,Primus
ITEM_NAME_127,メルギトゥル,Mergitur
ITEM_NAME_128,フレミトゥ,Fremitu
ITEM_NAME_129,シンチェリタティス,Sinceritatis
ITEM_NAME_130,ベネディクシオソーレ,Benedico Sole
ITEM_NAME_131,ロクスソルス,Locus Solus
ITEM_NAME_132,ソリトゥス,Solitus
ITEM_NAME_133,リンロッドスクリュウ,Threaded Cudgel
ITEM_NAME_134,カットラス,Cutlass
ITEM_NAME_136,バスタードソード,Bastard Sword
ITEM_NAME_137,ブロードソード,Broadsword
ITEM_NAME_138,タイトチンクエディア,Tight Cinquedea
ITEM_NAME_139,モルゲンステルン,Morgenstern
ITEM_NAME_140,キャプテンズソウル,Captain's Soul
ITEM_NAME_141,バドデストラクション,Bud of Destruction
ITEM_NAME_142,ファルカタ,Falcata
ITEM_NAME_143,サウザントスティング,Thousand Stings
ITEM_NAME_144,センスオブワウンド,Sense of Wound
ITEM_NAME_145,バイティングクラブ,Biting Club
ITEM_NAME_146,シルバーレイピア,Silver Rapier
ITEM_NAME_147,トゥレイスリピーデス,Thrice-Repeat Death
ITEM_NAME_148,コンクラーズブレード,Conclave Blade
ITEM_NAME_149,スティングレイ,Stingray
ITEM_NAME_150,セイクリッドエッジ,Sacred Edge
ITEM_NAME_151,エルフィンリーフ,Elfin Leaf
ITEM_NAME_152,ブルートキラー,Brute Killer
ITEM_NAME_153,ダークインテンション,Dark Intention
