keys,ja,en
STAGE_NAME_1,レスタニア,Lestania
STAGE_NAME_2,白竜神殿レーゼ,The White Dragon Temple
STAGE_NAME_3,謁見の間,Audience Chamber
STAGE_NAME_4,クラフトルーム,Craft Room
STAGE_NAME_5,港洞,Cave Harbor
STAGE_NAME_8,民家,House
STAGE_NAME_9,民家,House
STAGE_NAME_10,民家,House
STAGE_NAME_11,民家,House
STAGE_NAME_12,民家,House
STAGE_NAME_13,民家,House
STAGE_NAME_14,民家,House
STAGE_NAME_15,フラベルの店,Flavell's Shop
STAGE_NAME_16,森の一軒家,Lone House in the Forest
STAGE_NAME_17,民家,House
STAGE_NAME_18,民家,House
STAGE_NAME_19,ペドロ雑貨店,Pedro's General Store
STAGE_NAME_20,ヤンクスの武器屋,Yanks' Weapon Shop
STAGE_NAME_21,民家,House
STAGE_NAME_22,イヴァンの山小屋,Ivan's Lodge
STAGE_NAME_23,エテルナ装具屋,Eterna's Outfitter
STAGE_NAME_24,リンウッド組合宿　白鹿亭,White Deer Inn
STAGE_NAME_25,テル組合宿　黒ブドウ亭,Black Grape Inn
STAGE_NAME_26,ローテス組合宿　海竜亭,Sea Dragon Inn
STAGE_NAME_27,食糧庫,Supply Store
STAGE_NAME_28,森の廃墟地下,Forest Ruins Cellar
STAGE_NAME_29,廃屋の地下室,Abandoned House Cellar
STAGE_NAME_30,廃墟の食糧庫,Supply Store Ruins
STAGE_NAME_31,崩れかけたワイン庫,Wine Cellar Ruins
STAGE_NAME_32,灯台の地下倉庫,Lighthouse Underground Stores
STAGE_NAME_33,海辺の地下室,Seaside Cellar
STAGE_NAME_34,浜辺の地下保管庫,Beach Underground Stores
STAGE_NAME_35,地下倉庫,Underground Stores
STAGE_NAME_36,根の独房,Cell
STAGE_NAME_37,遺跡の地下室,Ruins Site Cellar
STAGE_NAME_38,平原の廃墟地下室,Plains Abandoned House Cellar
STAGE_NAME_39,廃墟の地下室,Ruins Cellar
STAGE_NAME_40,乾いた地下倉庫,Dry Underground Stores
STAGE_NAME_41,遺跡の地下室,Ruins Site Cellar
STAGE_NAME_42,民家,House
STAGE_NAME_43,民家,House
STAGE_NAME_44,民家,House
STAGE_NAME_45,民家,House
STAGE_NAME_46,民家,House
STAGE_NAME_47,灯台守の家,Lighthouse Keeper's House
STAGE_NAME_48,ジンゲン組合宿　風啼き亭,Singing Winds Inn
STAGE_NAME_49,ラウル武具工房,Raul's Arms and Armor Workshop
STAGE_NAME_50,ブランドン武具店,Brandon's Armor Shop
STAGE_NAME_51,渓谷の一軒家,Lone House in the Valley
STAGE_NAME_52,キノザ組合宿　紅水晶亭,Red Crystal Inn
STAGE_NAME_53,ドラワン組合宿　眠り狼亭,Sleeping Wolf Inn
STAGE_NAME_54,ケイシーの雑貨店,Casey's General Store
STAGE_NAME_55,隠者の家,Hermit's House
STAGE_NAME_56,術師の取引所,Specialist Trading Post
STAGE_NAME_57,オズワルドの武具店,Oswald's Armor Shop
STAGE_NAME_58,メルゴダ民の住居,Mergodan Residence
STAGE_NAME_59,メルゴダ民の住居,Mergodan Residence
STAGE_NAME_60,廃都の住居跡,Old Capital Ruins
STAGE_NAME_61,ゾマ組合宿　金の杯亭,Golden Tankard Inn
STAGE_NAME_62,さる錬金術師の家,An Alchemist's Home
STAGE_NAME_63,テオドール錬金工房,Theodor's Alchemy Workshop
STAGE_NAME_64,エリクシル精製室,Elixir Refining Chamber
STAGE_NAME_65,廃都の住居跡,Old Capital Ruins
STAGE_NAME_66,グリッテン砦,Gritten Fort
STAGE_NAME_67,燐光虫の洞窟,Glowworm Cave
STAGE_NAME_68,ガルドノック砦,Gardnox Fortress
STAGE_NAME_69,ドリード城,Dreed Castle
STAGE_NAME_70,エルテ・ディナン,Erte Deenan
STAGE_NAME_71,グリッテン砦,Gritten Fort
STAGE_NAME_72,ボルド大坑道,Volden Large Tunnels
STAGE_NAME_73,竜の巣,Dragon's Nest
STAGE_NAME_74,禊の神殿,Temple of Purification
STAGE_NAME_75,黄金宮,The Golden Palace
STAGE_NAME_76,亡都メルゴダ　下層,Mergoda Ruins: Lower Level
STAGE_NAME_77,メルゴダ護政区,Mergoda Security District
STAGE_NAME_78,ポーン郷,Pawn Cathedral
STAGE_NAME_79,古の祭祀場,Ancient Place of Rituals
STAGE_NAME_80,キノザ鉱泉,Kinoza Mineral Springs
STAGE_NAME_81,禊の神殿　離殿,Temple of Purification: South Chamber
STAGE_NAME_82,古の祭祀場,Ancient Place of Rituals
STAGE_NAME_83,グリッテン砦,Gritten Fort
STAGE_NAME_84,亡都メルゴダ　王宮層,Mergoda Ruins: Royal Palace Level
STAGE_NAME_85,ハイデル地下霊廟,Hidell Catacombs
STAGE_NAME_86,廃骨場,Abandoned Boneyard
STAGE_NAME_87,開かずの路,Blocked Passage
