ItemId,QualityStars,IconNo,IconColNo,Price
34,0,427,1,7
35,0,427,2,25
36,0,430,1,7
37,0,433,1,20
38,0,433,5,20
39,0,433,1,20
40,0,435,5,75
41,0,435,5,100
42,0,436,1,50
43,0,436,1,50
44,0,436,1,50
45,0,436,1,50
46,0,461,4,0
47,0,461,5,0
48,0,461,5,0
49,0,461,4,0
50,0,461,4,0
52,0,443,3,25
54,0,429,80,400
55,0,439,1,1
56,0,432,80,400
57,0,446,1,5
58,0,449,1,5
59,0,452,1,5
61,0,430,2,40
1351,0,457,2,37
7552,0,428,3,100
7553,0,428,4,200
7554,0,429,5,400
7555,0,429,6,800
7789,0,423,1,1
7790,0,423,1,10
7791,0,423,1,100
7792,0,424,1,1
7793,0,424,1,10
7794,0,424,1,100
7795,0,425,1,1
7796,0,425,1,10
7797,0,425,1,100
9066,0,461,4,200
9361,0,431,3,100
9362,0,431,4,200
9363,0,432,5,400
9364,0,432,6,800
9365,0,433,1,20
9366,0,433,1,20
9367,0,434,1,10
9368,0,434,1,10
9369,0,433,1,15
9370,0,433,1,20
9371,0,433,1,20
9372,0,433,2,20
9373,0,433,2,20
9374,0,435,2,35
9375,0,435,3,40
9376,0,433,2,35
9377,0,433,2,35
9378,0,435,6,50
9379,0,437,80,600
9380,0,438,80,600
9381,0,436,3,100
9382,0,436,3,100
9383,0,436,3,100
9384,0,436,3,100
9387,0,436,4,300
9388,0,436,4,300
9389,0,436,4,300
9390,0,436,4,300
9393,0,440,1,5
9394,0,440,1,10
9395,0,440,2,15
9396,0,441,2,20
9397,0,442,3,20
9398,0,444,4,30
9399,0,443,4,35
9400,0,443,80,600
9401,0,447,4,30
9402,0,450,4,30
9403,0,453,4,60
9404,0,448,80,800
9405,0,451,80,800
9406,0,454,80,800
9407,0,456,2,37
9408,0,458,2,37
9409,0,459,2,37
9410,0,456,3,75
9411,0,457,3,75
9412,0,458,3,75
9413,0,459,3,75
9414,0,456,4,200
9415,0,457,4,200
9416,0,458,4,200
9417,0,459,4,200
9418,0,456,4,350
9419,0,457,4,350
9420,0,458,4,350
9421,0,459,4,350
9422,0,456,5,450
9423,0,457,5,450
9424,0,458,5,450
9425,0,459,5,450
9426,0,460,1,0
9427,0,460,1,0
9428,0,460,2,0
9429,0,461,2,100
10664,0,1157,1,0
10665,0,1158,1,0
10669,0,1162,1,0
10672,0,1163,1,0
10673,0,1164,1,0
10674,0,1165,1,0
10675,0,1166,1,0
10676,0,1167,1,0
10682,0,426,1,1
11051,0,1264,1,0
11052,0,1265,1,0
11261,0,425,1,1
11262,0,425,1,1
11407,0,435,1,500
11408,0,1412,1,250
11510,0,1412,1,500
13328,0,462,1,10
13329,0,462,1,10
13330,0,462,1,10
13331,0,462,1,10
13332,0,462,1,10
13333,0,462,1,10
13334,0,462,1,10
13335,0,462,1,10
13336,0,462,1,10
13337,0,462,1,10
13338,0,462,1,10
13339,0,462,1,10
13340,0,462,1,10
13341,0,462,1,10
13342,0,462,1,10
13343,0,462,1,10
13344,0,462,1,10
13345,0,462,1,10
13346,0,462,1,10
13347,0,462,1,10
